BX = 000 Event : 1
0x00 0000001|1011010|00010100101110|0100|0000 0x036852E40
0x01 0000001|1011010|00001010001010|0000|0010 0x036828A02
0x02 0000001|1110000|00011101001011|1011|0000 0x03C074BB0
0x03 0000001|1110000|00110100011000|0101|1010 0x03C0D185A
0x04 0000000|1110000|00101010101011|0000|0001 0x01C0AAB01
0x05 0000000|1011010|00111011100110|1011|1010 0x0168EE6BA
0x06 0000010|0001111|00011111001101|1101|1001 0x043C7CDD9
0x07 0000010|0001111|00011110111101|1101|0100 0x043C7BDD4
0x08 0000101|1011010|00100111110010|0100|1001 0x0B689F249
0x09 0000101|1011010|00100111101111|0100|1011 0x0B689EF4B
0x0a 0000100|1011010|00011010100101|1101|0000 0x09686A5D0
0x0b 0000111|0001111|00001110000011|0100|0011 0x0E3C38343
0x0c 0000110|0001111|00000000101111|1100|0001 0x0C3C02FC1
0x0d 0001000|1011010|00001100110000|0100|0011 0x116833043
0x0e 0001001|1110000|00100000001000|0011|1001 0x13C080839
0x0f 011000011111|0100011|00100011001111|110 0x61F46467E
0x10 010111100010|0100011|00100000001111|100 0x5E246407C
0x11 010110111110|0100011|00011001011110|110 0x5BE4632F6
0x12 010110110100|0100011|00010000011011|100 0x5B44620DC
0x13 011001010100|1101110|00010101111110|010 0x654DC2BF2
0x14 011000100100|1101110|00001001000101|100 0x624DC122C
0x15 011000010110|1101110|00100100011000|101 0x616DC48C5
0x16 011100101001|0010001|00100100100011|000 0x729224918
0x17 011100010101|0010001|00010111011001|110 0x715222ECE
0x18 011011110001|0010001|00100010111101|001 0x6F12245E9
0x19 011011111110|0100011|00101110111001|011 0x6FE465DCB
0x1a 011011010011|0100011|00101010101110|000 0x6D3465570
0x1b 011010101110|0100011|00101111010001|011 0x6AE465E8B
0x1c 011100011101|1101110|00100011110110|010 0x71DDC47B2
0x1d 011100010111|1011100|00100011100001|010 0x717B8470A
0x1e 100001010010|0010001|00000011100001|001 0x852220709
0x1f 100000011100|0010001|00011011011000|000 0x81C2236C0
0x20 011111011000|0010001|00011110001010|001 0x7D8223C51
0x21 100000100100|0100011|00101100011111|010 0x8244658FA
0x22 0000000|0010000|00011011000001|0111|0011 0x00406C173
0x23 0000000|0100110|00110000111001|0011|1011 0x0098C393B
0x24 0000000|0100110|00110010001000|0011|0010 0x0098C8832
0x25 0000001|0010000|00111011100111|1011|1001 0x0240EE7B9
0x26 0000010|1011011|00100001011011|1110|1011 0x056C85BEB
0x27 0000010|1011011|00011011010101|1011|0011 0x056C6D5B3
0x28 0000100|0100110|00000000101101|1100|0011 0x089802DC3
0x29 0000100|0100110|00001100110101|0010|0011 0x089833523
0x2a 0000101|0100110|00111101011011|0010|0000 0x0A98F5B20
0x2b 0000100|0100110|00110100101001|1110|1001 0x0898D29E9
0x2c 0001001|0010000|00101100011010|1110|1010 0x1240B1AEA
0x2d 010110110101|1011101|00111001100010|110 0x5B5BA7316
0x2e 010110011100|1011101|00111011011011|000 0x59CBA76D8
0x2f 010110011100|1011101|00111011000110|101 0x59CBA7635
0x30 010110001000|1011101|00111010011111|010 0x588BA74FA
0x31 011001100011|0100100|00010000100010|101 0x663482115
0x32 011100111101|1011101|00010011110101|010 0x73DBA27AA
0x33 011011110001|1011101|00010000000100|011 0x6F1BA2023
0x34 011011010101|1011101|00000101101001|011 0x6D5BA0B4B
0x35 011100001101|1101111|00101111101000|111 0x70DDE5F47
0x36 011010110110|1101111|00111000010100|011 0x6B6DE70A3
0x37 011101011000|0100100|00100001100010|011 0x758484313
